[1777823123.437582] [cn13:720425:0]          parser.c:1906 UCX  WARN  unused env variable: UCX_ROOT (set UCX_WARN_UNUSED_ENV_VARS=n to suppress this warning)
LAMMPS (23 Jun 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0 -0 -0) to (200 200 200)
  2 by 2 by 2 MPI processor grid
  reading atoms ...
  923 atoms
  read_data CPU = 0.005 seconds
Reading eam/alloy potential file CuAgAu_Zhou04.eam.alloy with DATE: 2018-03-30
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.4662927
  ghost atom cutoff = 8.4662927
  binsize = 4.2331463, bins = 48 48 48
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 4.708 | 4.708 | 4.709 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     28600   597.62876     -2609.858       0             -2538.6339     -0.88169903   
     28800   577.82125     -2614.2714      0             -2545.408       4.4300399    
     29000   607.85189     -2611.4372      0             -2538.9948     -5.2025776    
     29200   604.66835     -2605.8952      0             -2533.8321      8.0032043    
     29400   585.92378     -2614.7572      0             -2544.928      -2.5285274    
     29600   601.0646      -2613.9713      0             -2542.3377      3.1963115    
     29800   600.23751     -2605.978       0             -2534.443      -5.4248256    
     30000   573.10168     -2605.4129      0             -2537.1119      7.6293216    
     30200   578.75794     -2615.206       0             -2546.2309     -2.2033901    
     30400   607.57108     -2610.9639      0             -2538.5549      3.310712     
     30600   585.82802     -2606.6167      0             -2536.7989      1.2998383    
     30800   603.44633     -2613.3427      0             -2541.4253      2.2831582    
     31000   584.85004     -2614.4424      0             -2544.7412      2.4154396    
     31200   623.48933     -2610.9296      0             -2536.6235      0.41256885   
     31400   617.74429     -2610.4167      0             -2536.7953      1.7476563    
     31600   577.15449     -2614.2317      0             -2545.4477      1.4027053    
     31800   593.73728     -2615.0723      0             -2544.312       3.2264963    
     32000   609.68182     -2610.6464      0             -2537.9859      1.6267508    
     32200   608.2581      -2611.1506      0             -2538.6597      0.13521842   
     32400   588.85395     -2613.5101      0             -2543.3317     -1.7505967    
     32600   579.77729     -2610.7923      0             -2541.6957      2.4901475    
     32800   614.35565     -2612.1735      0             -2538.9559     -0.22468211   
     33000   569.75377     -2610.969       0             -2543.0669     -2.6092773    
     33200   602.02046     -2613.3067      0             -2541.5592      1.3972062    
     33400   613.95152     -2613.3765      0             -2540.207       0.86622204   
     33600   623.36412     -2612.1177      0             -2537.8265      4.3829878    
     33800   602.93696     -2615.2826      0             -2543.4258      3.1058643    
     34000   575.67932     -2613.946       0             -2545.3378      0.034378309  
     34200   613.91708     -2610.0999      0             -2536.9346     -2.4260786    
     34400   590.12319     -2611.2817      0             -2540.952       0.36857402   
     34600   586.17621     -2616.7636      0             -2546.9044     -4.2418884    
     34800   636.79842     -2616.1215      0             -2540.2293     -1.0356984    
     35000   613.9634      -2611.1331      0             -2537.9623     -4.567858     
     35200   600.44967     -2615.8263      0             -2544.266      -4.1715887    
     35400   572.6079      -2610.7702      0             -2542.528      -2.0306415    
     35600   614.63328     -2612.114       0             -2538.8633      1.6952678    
     35800   598.44097     -2612.5469      0             -2541.226      -5.0201806    
     36000   580.53187     -2615.4901      0             -2546.3036     -0.0059599874 
     36200   597.03394     -2614.065       0             -2542.9118      3.2079201    
     36400   606.18273     -2607.1979      0             -2534.9543     -2.9970974    
     36600   570.81895     -2612.976       0             -2544.947      -5.2632611    
     36800   579.26545     -2613.6049      0             -2544.5693      2.4581798    
     37000   622.74595     -2611.1743      0             -2536.9568     -1.8860329    
     37200   584.69438     -2613.5337      0             -2543.8511      1.6015048    
